case,origin,channel,rms_total,dc,fundamental_rms,harmonic_rms,fundamental_angle_deg,thd_pct,steady_change_pct,theory_error_pct,dc_pct,unmodeled_rms,unmodeled_pct
without_filter,PSCAD_EMTDC,Iload_A,103.56640381881365,1.1234798310290177e-11,99.9999999997614,26.944387170787998,-179.99999998842426,26.944387170852288,1.4968375930184027e-08,6.972707251491739e-08,1.1234798310290176e-11,5.976762755226535e-09,5.976762755226535e-09
without_filter,PSCAD_EMTDC,Isystem_A,103.5664038190791,1.0985131356512454e-11,100.00000000003644,26.94438717078742,-179.99999998842858,26.9443871707776,1.4968405038048368e-08,6.973461804908967e-08,1.0985131356512443e-11,5.976820729517392e-09,5.976820729517385e-09
without_filter,PSCAD_EMTDC,Ifilter_A,2.7562062614080037e-10,2.5657551712586625e-13,2.7523096678881147e-10,1.4648501254430662e-11,-1.5697628158076935,,2.783103837115429e-14,2.7523096678881153e-08,2.5657551712586626e-11,7.39904926703232e-15,7.399049267032321e-13
without_filter,PSCAD_EMTDC,Ilinear_A,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
without_filter,PSCAD_EMTDC,Vpcc_A,275.6210770864698,0.25654565711335214,275.2314236136699,14.648405176817235,-1.5697864632730725,5.322213933456433,1.4999080328763985e-07,0.0004990871809558031,0.09321088921530676,1.204723449836078e-07,4.3771290179407384e-08
without_filter,PSCAD_EMTDC,Iload_B,103.56640381869379,-7.1976634732345335e-12,99.999999999698,26.944387170562024,60.00000001176914,26.94438717064339,1.4968338524800426e-08,6.973437116178281e-08,7.197663473234533e-12,5.97681940015905e-09,5.976819400159049e-09
without_filter,PSCAD_EMTDC,Isystem_B,103.56640381895927,-7.2482541160206324e-12,99.99999999997311,26.944387170561484,60.00000001176484,26.944387170568735,1.496826091469081e-08,6.974187004714396e-08,7.2482541160206276e-12,5.9768608599361695e-09,5.9768608599361645e-09
without_filter,PSCAD_EMTDC,Ifilter_B,2.7562050049993646e-10,8.745366627052712e-14,2.752309538233745e-10,1.4648366884648607e-11,-121.56979053375346,,2.9259784359924295e-14,2.7523095382337452e-08,8.745366627052712e-12,7.264985713307033e-15,7.264985713307033e-13
without_filter,PSCAD_EMTDC,Ilinear_B,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
without_filter,PSCAD_EMTDC,Vpcc_B,275.6209715707582,0.08749832740412689,275.2314236046245,14.648405176783951,-121.56978646291189,5.322213933619251,5.116388794610564e-08,0.0004990873506912056,0.031790820370766026,3.830522690354191e-08,1.391746132617501e-08
without_filter,PSCAD_EMTDC,Iload_C,103.56640381871966,-4.095754612755835e-12,99.99999999970977,26.94438717061748,-59.999999988581116,26.944387170695684,1.4968322661954093e-08,6.980596156560645e-08,4.095754612755834e-12,5.9767558732913715e-09,5.976755873291371e-09
without_filter,PSCAD_EMTDC,Isystem_C,103.5664038189852,-3.899076383497442e-12,99.99999999998488,26.94438717061697,-59.999999988585415,26.944387170621045,1.4968310532136308e-08,6.981350382508381e-08,3.899076383497437e-12,5.9767412934883786e-09,5.976741293488371e-09
without_filter,PSCAD_EMTDC,Ifilter_C,2.756210113156195e-10,-1.7192261524262204e-13,2.7523142361851013e-10,1.4648405175557313e-11,118.43021354205374,,1.447924485025717e-16,2.7523142361851006e-08,1.7192261524262204e-11,4.155555667072655e-19,4.1555556670726554e-17
without_filter,PSCAD_EMTDC,Ilinear_C,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
without_filter,PSCAD_EMTDC,Vpcc_C,275.62101130862465,-0.1719278688930543,275.2314236081667,14.648405176627959,118.43021353759691,5.322213933494079,1.0176303995363605e-07,0.0004990873572489361,0.06246665689348831,7.974847160315725e-08,2.897506056166658e-08
tuned_5th,PSCAD_EMTDC,Iload_A,103.56640381881365,1.1234798310290177e-11,99.9999999997614,26.944387170787998,-179.99999998842426,26.944387170852288,1.4968375930184027e-08,6.972707251491739e-08,1.1234798310290176e-11,5.976762755226535e-09,5.976762755226535e-09
